chunk_id,file,relevance,coverage_drop,retention_loss,repo,query_id
tests/unit/test_voyage_history.py::L1,tests/unit/test_voyage_history.py,41.185,0.0,0.0,windmar,1
frontend/components/VoyageResults.tsx::L1,frontend/components/VoyageResults.tsx,41.185,0.0,0.0,windmar,1
tests/integration/test_optimization_flow.py::L361,tests/integration/test_optimization_flow.py,53.659,0.0,0.0,windmar,2
tests/unit/test_router.py::L1,tests/unit/test_router.py,39.025,0.0,0.0,windmar,2
src/optimization/router.py::L1,src/optimization/router.py,39.025,0.0,0.0,windmar,2
src/optimization/router.py::L241,src/optimization/router.py,34.147,0.0,0.0,windmar,2
examples/demo_simple.py::L1,examples/demo_simple.py,14.634,0.0,0.0,windmar,2
examples/example_ara_med.py::L1,examples/example_ara_med.py,14.634,0.0,0.0,windmar,2
src/compliance/fueleu.py::L241,src/compliance/fueleu.py,6.488,0.0,0.0,windmar,2
api/routers/fueleu.py::L1,api/routers/fueleu.py,6.488,0.0,0.0,windmar,2
tests/integration/test_land_routing.py::L1,tests/integration/test_land_routing.py,4.878,0.0,0.0,windmar,2
tests/unit/test_tn002_physics_audit.py::L1,tests/unit/test_tn002_physics_audit.py,4.878,0.0,0.0,windmar,2
frontend/lib/api.ts::L1,frontend/lib/api.ts,0.0,0.5,1.0,windmar,3
api/database.py::L1,api/database.py,5.977,0.0,0.0,windmar,3
scripts/generate_engine_log_seed.py::L121,scripts/generate_engine_log_seed.py,5.977,0.0,0.0,windmar,3
src/config.py::L121,src/config.py,5.977,0.0,0.0,windmar,3
tests/conftest.py::L1,tests/conftest.py,5.977,0.0,0.0,windmar,3
